Data File Name,CADAM_11jan17_1_DNA 12000_DE72901785_2017-01-11_10-14-38.xad
Data File Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\data\2017-01-11
Date Created,"Wednesday, January 11, 2017 9:14:38 AM"
Date Last Modified,"Wednesday, January 11, 2017 9:36:50 AM"
Version Created,B.02.08.SI648
Version Last Modified,B.02.08.SI648
 
Assay Name,DNA 12000 Series II
Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,DNA 12000
Assay Version,2.4
 
Number of Samples Run,6
 
Sample Name,Ladder
Number of Events,1581
 
Time,Value
32.25,0.2001663
32.3,0.1826157
32.35,0.2918589
32.4,0.2548554
32.45,0.2223847
32.5,0.1422088
32.55,0.232529
32.6,0.2454842
32.65,0.2951144
32.7,0.2752552
32.75,0.2800337
32.8,0.3064216
32.85,0.2970605
32.9,0.2830125
32.95,0.3322795
33,0.3766646
33.05,0.3159411
33.1,0.2419754
33.15,7.157847E-02
33.2,9.793508E-02
33.25,6.709737E-02
33.3,0.0606862
33.35,0.1453018
33.4,0.2554668
33.45,0.251179
33.5,0.2871874
33.55,0.2242204
33.6,0.2563961
33.65,0.2653056
33.7,0.2782016
33.75,0.3045471
33.8,0.3049181
33.85,0.3117692
33.9,0.2740401
33.95,0.1800914
34,4.974547E-02
34.05,0.0530992
34.1,4.088381E-02
34.15,7.309218E-02
34.2,8.363527E-02
34.25,0.2260176
34.3,0.5221817
34.35,1.267657
34.4,2.899761
34.45,5.836008
34.5,10.56493
34.55,17.65283
34.6,27.29349
34.65,39.13857
34.7,52.58715
34.75,66.8026
34.8,80.68526
34.85,93.5231
34.9,104.5662
34.95,112.9628
35,117.1419
35.05,116.006
35.1,109.7804
35.15,98.71355
35.2,83.9114
35.25,67.44662
35.3,51.19526
35.35,36.6849
35.4,24.76312
35.45,15.89497
35.5,9.909649
35.55,6.048922
35.6,3.641916
35.65,2.214605
35.7,1.326655
35.75,0.7392084
35.8,0.4579292
35.85,0.3374271
35.9,0.2448801
35.95,0.1933184
36,0.1011729
36.05,2.035877E-02
36.1,-1.526513E-03
36.15,5.119429E-02
36.2,0.11904
36.25,0.1850757
36.3,0.1821642
36.35,0.1277839
36.4,0.0718271
36.45,1.891539E-02
36.5,2.111109E-02
36.55,1.412444E-02
36.6,8.279058E-02
36.65,9.632257E-02
36.7,0.1786892
36.75,9.264939E-02
36.8,5.895931E-02
36.85,7.506207E-02
36.9,0.1867592
36.95,0.2586192
37,0.3598897
37.05,0.3528824
37.1,0.2720169
37.15,0.1107406
37.2,-2.863987E-02
37.25,-3.884113E-02
37.3,-1.279092E-02
37.35,2.214384E-04
37.4,4.533133E-03
37.45,3.687184E-02
37.5,7.991228E-02
37.55,0.1648913
37.6,0.4250044
37.65,1.249001
37.7,2.728777
37.75,5.16391
37.8,8.510019
37.85,13.01791
37.9,19.20436
37.95,27.41941
38,37.68774
38.05,49.19074
38.1,60.24215
38.15,68.89982
38.2,73.49989
38.25,73.02488
38.3,67.46484
38.35,58.17336
38.4,46.86689
38.45,35.53667
38.5,25.4926
38.55,17.48532
38.6,11.61696
38.65,7.515321
38.7,4.68797
38.75,2.914586
38.8,1.809798
38.85,1.105973
38.9,0.6795373
38.95,0.4278442
39,0.3244291
39.05,0.3286909
39.1,0.3098022
39.15,0.3459086
39.2,0.3052187
39.25,0.2118856
39.3,6.208332E-02
39.35,3.856603E-02
39.4,1.826613E-02
39.45,-8.434808E-03
39.5,-8.901184E-02
39.55,1.303726E-02
39.6,0.1062869
39.65,0.1699428
39.7,0.1610728
39.75,0.1360725
39.8,0.1075571
39.85,2.359926E-02
39.9,-5.009916E-02
39.95,-6.915843E-02
40,1.045539E-02
40.05,0.0305187
40.1,9.984623E-02
40.15,0.1255282
40.2,0.1833762
40.25,0.1362062
40.3,2.950767E-02
40.35,-7.260907E-02
40.4,-8.468114E-02
40.45,-0.1265153
40.5,-0.1292531
40.55,-0.1399421
40.6,-0.1014769
40.65,-5.802042E-02
40.7,-8.644225E-02
40.75,-8.932199E-02
40.8,-6.976448E-02
40.85,1.697152E-02
40.9,0.1141608
40.95,0.1068433
41,-4.016913E-02
41.05,1.826247E-02
41.1,-0.1623307
41.15,-0.1417992
41.2,-0.1847339
41.25,-0.1110439
41.3,-0.0920513
41.35,-0.108678
41.4,-0.1559696
41.45,-9.068554E-02
41.5,-1.806038E-02
41.55,-1.959131E-02
41.6,8.579738E-03
41.65,-1.503865E-02
41.7,9.740927E-02
41.75,0.1253469
41.8,0.1338836
41.85,5.519225E-03
41.9,0.1033266
41.95,-4.749771E-02
42,-0.0980913
42.05,-0.2569505
42.1,-0.1949665
42.15,-0.1376568
42.2,8.968531E-04
42.25,0.1051604
42.3,0.2577881
42.35,0.3675317
42.4,0.2984688
42.45,0.1736729
42.5,9.712759E-02
42.55,0.1878679
42.6,0.1829709
42.65,0.1610775
42.7,0.1162361
42.75,0.2706669
42.8,0.284052
42.85,0.2489445
42.9,0.1706395
42.95,0.215293
43,0.1606228
43.05,6.567515E-02
43.1,-1.735174E-02
43.15,-4.181685E-02
43.2,-0.0603853
43.25,-4.132156E-02
43.3,9.812699E-02
43.35,0.2631735
43.4,0.3544436
43.45,0.2138674
43.5,0.0606745
43.55,-9.994832E-02
43.6,-2.797915E-02
43.65,-0.1005169
